Fold,Model,Accuracy,Method,K
20,SVM,0.6032,Univeriate,2
20,guass_nb,0.6184,Univeriate,2
21,SVM,0.6024,Univeriate,2
21,guass_nb,0.5848,Univeriate,2
22,SVM,0.6032,Univeriate,2
22,guass_nb,0.5976,Univeriate,2
23,SVM,0.6232,Univeriate,2
23,guass_nb,0.6112,Univeriate,2
24,SVM,0.616,Univeriate,2
24,guass_nb,0.596,Univeriate,2
25,SVM,0.6152,Univeriate,2
25,guass_nb,0.6048,Univeriate,2
26,SVM,0.6128,Univeriate,2
26,guass_nb,0.604,Univeriate,2
27,SVM,0.5912,Univeriate,2
27,guass_nb,0.5904,Univeriate,2
28,SVM,0.6264,Univeriate,2
28,guass_nb,0.6296,Univeriate,2
29,SVM,0.6104,Univeriate,2
29,guass_nb,0.5992,Univeriate,2
30,SVM,0.5968,Univeriate,2
30,guass_nb,0.6016,Univeriate,2
31,SVM,0.628,Univeriate,2
31,guass_nb,0.6112,Univeriate,2
32,SVM,0.6072,Univeriate,2
32,guass_nb,0.5872,Univeriate,2
33,SVM,0.6016,Univeriate,2
33,guass_nb,0.5912,Univeriate,2
34,SVM,0.5968,Univeriate,2
34,guass_nb,0.584,Univeriate,2
35,SVM,0.6264,Univeriate,2
35,guass_nb,0.6152,Univeriate,2
36,SVM,0.5952,Univeriate,2
36,guass_nb,0.5936,Univeriate,2
37,SVM,0.6104,Univeriate,2
37,guass_nb,0.6096,Univeriate,2
38,SVM,0.596,Univeriate,2
38,guass_nb,0.5944,Univeriate,2
39,SVM,0.6112,Univeriate,2
39,guass_nb,0.6,Univeriate,2
40,SVM,0.612,Univeriate,2
40,guass_nb,0.592,Univeriate,2
41,SVM,0.5968,Univeriate,2
41,guass_nb,0.5936,Univeriate,2
42,SVM,0.604,Univeriate,2
42,guass_nb,0.5944,Univeriate,2
43,SVM,0.6256,Univeriate,2
43,guass_nb,0.6032,Univeriate,2
44,SVM,0.6088,Univeriate,2
44,guass_nb,0.6064,Univeriate,2
45,SVM,0.584,Univeriate,2
45,guass_nb,0.5816,Univeriate,2
46,SVM,0.6024,Univeriate,2
46,guass_nb,0.5992,Univeriate,2
47,SVM,0.6024,Univeriate,2
47,guass_nb,0.5944,Univeriate,2
48,SVM,0.6168,Univeriate,2
48,guass_nb,0.6152,Univeriate,2
49,SVM,0.6096,Univeriate,2
49,guass_nb,0.5968,Univeriate,2
0,SVM,0.7168,Univeriate,3
0,guass_nb,0.5472,Univeriate,3
1,SVM,0.7008,Univeriate,3
1,guass_nb,0.5312,Univeriate,3
2,SVM,0.7112,Univeriate,3
2,guass_nb,0.5272,Univeriate,3
3,SVM,0.7328,Univeriate,3
3,guass_nb,0.5304,Univeriate,3
4,SVM,0.7024,Univeriate,3
4,guass_nb,0.5376,Univeriate,3
5,SVM,0.7176,Univeriate,3
5,guass_nb,0.5488,Univeriate,3
6,SVM,0.7184,Univeriate,3
6,guass_nb,0.5392,Univeriate,3
7,SVM,0.748,Univeriate,3
7,guass_nb,0.5648,Univeriate,3
8,SVM,0.7144,Univeriate,3
8,guass_nb,0.552,Univeriate,3
9,SVM,0.7056,Univeriate,3
9,guass_nb,0.5472,Univeriate,3
10,SVM,0.7224,Univeriate,3
10,guass_nb,0.548,Univeriate,3
11,SVM,0.7224,Univeriate,3
11,guass_nb,0.544,Univeriate,3
12,SVM,0.7192,Univeriate,3
12,guass_nb,0.5488,Univeriate,3
13,SVM,0.7056,Univeriate,3
13,guass_nb,0.548,Univeriate,3
14,SVM,0.7024,Univeriate,3
14,guass_nb,0.5344,Univeriate,3
15,SVM,0.7248,Univeriate,3
15,guass_nb,0.5792,Univeriate,3
16,SVM,0.7056,Univeriate,3
16,guass_nb,0.5384,Univeriate,3
17,SVM,0.7128,Univeriate,3
17,guass_nb,0.528,Univeriate,3
18,SVM,0.7136,Univeriate,3
18,guass_nb,0.5424,Univeriate,3
19,SVM,0.74,Univeriate,3
19,guass_nb,0.5536,Univeriate,3
20,SVM,0.696,Univeriate,3
20,guass_nb,0.5576,Univeriate,3
21,SVM,0.728,Univeriate,3
21,guass_nb,0.5624,Univeriate,3
22,SVM,0.7144,Univeriate,3
22,guass_nb,0.536,Univeriate,3
23,SVM,0.6888,Univeriate,3
23,guass_nb,0.5392,Univeriate,3
24,SVM,0.7256,Univeriate,3
24,guass_nb,0.5536,Univeriate,3
25,SVM,0.7008,Univeriate,3
25,guass_nb,0.5512,Univeriate,3
26,SVM,0.7032,Univeriate,3
26,guass_nb,0.5304,Univeriate,3
27,SVM,0.6944,Univeriate,3
27,guass_nb,0.5456,Univeriate,3
28,SVM,0.7168,Univeriate,3
28,guass_nb,0.5536,Univeriate,3
29,SVM,0.7296,Univeriate,3
29,guass_nb,0.5416,Univeriate,3
30,SVM,0.7208,Univeriate,3
30,guass_nb,0.5312,Univeriate,3
31,SVM,0.712,Univeriate,3
31,guass_nb,0.56,Univeriate,3
32,SVM,0.7224,Univeriate,3
32,guass_nb,0.544,Univeriate,3
33,SVM,0.7272,Univeriate,3
33,guass_nb,0.5336,Univeriate,3
34,SVM,0.7128,Univeriate,3
34,guass_nb,0.5416,Univeriate,3
35,SVM,0.716,Univeriate,3
